FID,disso,ORIG_FID,POINT_X,POINT_Y
511,0,0,732827.926575000050000,4608706.590870000400000
512,0,0,732848.082825000050000,4608606.747130000000000
513,0,0,732887.926575000050000,4608556.590870000400000
514,0,0,732908.082825000050000,4608426.747120000400000
515,0,0,732928.004700000050000,4608386.668999999800000
516,0,0,733005.758605999990000,4608344.415579999800000
517,0,0,733030.250793999990000,4608278.922419999700000
518,0,0,733146.837707999980000,4608139.121390000000000
519,0,0,733180.250793999990000,4608008.922419999700000
520,0,0,733245.758605999990000,4607924.415579999800000
521,0,0,733270.250793999990000,4607858.922419999700000
522,0,0,733335.758605999990000,4607774.415579999800000
523,0,0,733361.525207999980000,4607673.989559999700000
524,0,0,733444.757630000010000,4607553.429250000000000
525,0,0,733515.758605999990000,4607504.415579999800000
526,0,0,733540.250793999990000,4607438.922419999700000
527,0,0,733623.673644999970000,4607331.293019999700000
528,0,0,733588.004700000050000,4607306.668999999800000
529,0,0,733618.004700000050000,4607246.668999999800000
530,0,0,733635.758605999990000,4607234.415579999800000
531,0,0,733697.018371999960000,4607145.682670000000000
532,0,0,733785.758605999990000,4607084.415579999800000
533,0,0,733798.004700000050000,4607006.668999999800000
534,0,0,733858.004700000050000,4606916.668999999800000
535,0,0,733871.349427000040000,4606840.010060000200000
536,0,0,733938.204894999970000,4606748.479299999800000
537,0,0,733929.254700000050000,4606676.548150000200000
538,0,0,733961.349427000040000,4606420.010060000200000
539,0,0,734030.431457999980000,4606325.425099999600000
540,0,0,734008.004700000050000,4606226.668999999800000
541,0,0,734038.004700000050000,4606226.668999999800000
542,0,0,734038.004700000050000,4606106.668999999800000
543,0,0,734038.004700000050000,4606076.668999999800000
544,0,0,734008.004700000050000,4606076.668999999800000
545,0,0,733935.377746999960000,4605963.597710000400000
546,0,0,733969.420716000020000,4605733.203420000200000
547,0,0,733948.004700000050000,4605716.668999999800000
548,0,0,733948.004700000050000,4605656.668999999800000
549,0,0,733966.242005000010000,4605288.385309999800000
550,0,0,733957.057433999960000,4605056.668999999800000
551,0,0,733966.578918999990000,4604816.668999999800000
552,0,0,733954.479308999960000,4604511.472470000400000
553,0,0,734053.575989000030000,4604382.240290000100000
554,0,0,734082.433410999950000,4604291.097710000400000
